"Date","Price","Open","High","Low","Vol.","Change %"
"09/14/2018","13,901.5","14,007.1","14,095.1","13,901.5","12.74M","-0.63%"
"12/16/2021","35,949.1","36,403.2","36,403.2","35,797.8","14.34M","-0.63%"
"05/14/2020","10,957.6","10,888.9","11,026.2","10,843.2","13.73M","-0.62%"
"01/06/2020","10,980.4","10,980.4","11,094.8","10,911.8","11.31M","-0.62%"
"08/20/2020","13,436.1","13,519.8","13,575.5","13,380.4","17.00M","-0.62%"
"08/18/2022","24,150.0","24,100.0","24,350.0","24,050.0","23.22M","-0.62%"
"08/18/2020","13,464.0","13,603.4","13,603.4","13,436.1","9.00M","-0.62%"
"02/05/2020","11,186.3","11,369.3","11,438.0","11,071.9","14.61M","-0.61%"
"10/19/2018","14,341.4","14,323.8","14,447.0","14,218.3","13.67M","-0.61%"
"09/09/2020","13,659.1","13,603.4","13,910.0","13,575.5","34.45M","-0.61%"
"09/26/2018","14,429.4","14,517.4","14,587.8","14,429.4","13.73M","-0.61%"
"08/10/2021","37,387.1","37,916.9","38,219.6","37,160.1","30.31M","-0.60%"
"10/08/2018","14,499.8","14,499.8","14,587.8","14,447.0","10.24M","-0.60%"
"03/04/2022","37,689.8","38,598.0","38,825.1","37,689.8","43.39M","-0.60%"
"05/06/2022","31,635.2","31,332.5","32,543.4","31,332.5","19.51M","-0.59%"
"06/10/2022","25,429.3","25,580.7","25,921.2","25,429.3","19.74M","-0.59%"
"09/22/2020","14,244.5","14,216.7","14,328.2","14,160.9","26.83M","-0.58%"
"09/16/2021","38,825.1","39,354.9","39,581.9","38,825.1","23.38M","-0.58%"
"09/24/2020","14,300.3","14,328.2","14,439.7","14,216.7","21.82M","-0.58%"
"06/23/2021","38,900.8","39,052.1","39,279.2","38,673.7","24.13M","-0.58%"
"06/30/2021","38,976.4","39,279.2","39,506.2","38,900.8","24.57M","-0.58%"
"12/04/2018","12,177.0","12,317.8","12,388.2","12,053.9","11.80M","-0.57%"
"05/25/2018","13,097.1","13,172.5","13,398.8","13,021.7","20.50M","-0.57%"
"07/10/2018","12,493.8","12,493.8","12,704.9","12,493.8","8.28M","-0.56%"
"01/14/2021","24,781.6","24,921.0","24,921.0","24,447.1","30.76M","-0.56%"
"05/04/2018","13,574.7","13,775.8","13,901.5","13,549.6","9.96M","-0.55%"
"03/10/2021","25,422.7","25,562.1","25,562.1","25,171.8","27.68M","-0.55%"
"03/17/2022","34,776.1","35,268.0","35,343.7","34,738.2","19.45M","-0.54%"
"02/22/2022","35,116.6","35,041.0","35,268.0","34,586.9","22.97M","-0.54%"
"04/28/2021","31,220.9","31,388.2","31,499.7","30,942.1","27.41M","-0.53%"
"11/09/2021","42,760.6","42,987.6","43,593.1","42,684.9","32.13M","-0.53%"
"12/21/2022","18,900.0","19,400.0","19,450.0","18,100.0","27.70M","-0.53%"
"10/20/2021","43,063.3","43,441.7","43,517.4","42,230.8","45.06M","-0.52%"
"10/25/2018","13,725.6","13,373.6","13,778.3","13,320.8","19.83M","-0.51%"
"01/25/2019","10,452.5","10,558.1","10,593.3","10,399.7","4.41M","-0.50%"
"01/13/2023","19,950.0","20,250.0","20,350.0","19,900.0","19.17M","-0.50%"
"02/28/2023","20,000.0","20,450.0","20,500.0","19,900.0","15.22M","-0.50%"
"04/11/2018","15,208.7","15,334.4","15,585.8","15,183.6","27.56M","-0.49%"
"10/09/2018","14,429.4","14,605.4","14,605.4","14,429.4","10.15M","-0.49%"
"02/10/2023","20,500.0","20,700.0","20,800.0","20,150.0","15.83M","-0.49%"
"01/02/2019","10,839.7","10,874.9","11,068.4","10,839.7","11.49M","-0.48%"
"03/28/2023","20,700.0","20,900.0","21,000.0","20,700.0","12.33M","-0.48%"
"02/04/2021","23,304.2","23,415.7","23,527.2","23,164.8","39.05M","-0.48%"
"04/17/2019","11,121.2","11,174.0","11,209.2","11,086.0","5.09M","-0.47%"
"04/10/2019","11,244.4","11,262.0","11,279.6","11,138.8","6.04M","-0.47%"
"10/15/2019","9,768.0","9,836.6","9,928.1","9,768.0","7.61M","-0.47%"
"05/28/2019","11,279.6","11,438.0","11,438.0","11,279.6","7.77M","-0.47%"
"07/05/2022","21,900.0","22,100.0","22,350.0","21,750.0","15.09M","-0.45%"
"08/29/2019","10,134.0","10,179.8","10,179.8","10,065.4","10.41M","-0.45%"
"09/27/2019","10,134.0","10,179.8","10,271.3","10,134.0","6.72M","-0.45%"
"07/14/2022","22,200.0","22,200.0","22,400.0","22,100.0","12.52M","-0.45%"
"01/13/2021","24,921.0","25,199.7","25,339.1","24,753.7","28.31M","-0.45%"
"03/11/2019","11,895.5","12,036.3","12,036.3","11,825.1","13.30M","-0.44%"
"03/08/2019","11,948.3","11,789.9","12,071.5","11,754.7","12.74M","-0.44%"
"11/19/2019","10,431.4","10,500.0","10,500.0","10,385.7","8.78M","-0.44%"
"07/26/2021","34,511.2","34,435.5","34,889.6","33,792.2","30.53M","-0.44%"
"03/14/2019","12,036.3","12,089.0","12,194.6","11,930.7","12.27M","-0.44%"
"09/21/2022","22,900.0","22,900.0","22,950.0","22,700.0","9.92M","-0.43%"
"06/13/2019","10,522.9","10,705.9","10,705.9","10,477.2","5.31M","-0.43%"
